,planet_name,disposition,kic_id,koi_id,kep_mag,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,ruwe,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,rhostar,rhostar_err1,rhostar_err2,teff,teff_err1,teff_err2,feh,feh_err1,feh_err2,logg,logg_err1,logg_err2,age,age_err1,age_err2,age_flag,npl,snr,rcf,detprob,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,ror,ror_err1,ror_err2,duration,duration_err1,duration_err2,impact,impact_err1,impact_err2,fpp,rgap,rgap_err,rp,rp_err,rp10,rp10_err,rpadj,rpadj_err,sma,sma_err1,sma_err2
0,K00001.01,CONFIRMED,11446443,K00001,11.338,11.68,0.0203,9.846,0.022,4.6454,0.0224,0.9016,0.978,0.07,-0.068,1.051,0.022,-0.021,0.836,0.094,-0.087,5730.0,102.6,-100.8,0.019,0.144,-0.144,4.383,0.04,-0.041,6.17,3.66,-3.22,0,1,4304.3,1.0102,0.0083615100968159,2.4706133778,2.619999994735167e-08,-2.7100000021818005e-08,55.7633046815,8.798099997875397e-06,-8.55466000615479e-06,0.12386890419999999,5.9188645200020096e-05,-5.99868819999988e-05,0.07262926043387573,4.589533191085016e-05,-4.468220477688023e-05,0.817859710085,0.0005661052958000345,-0.0005664249530000776,0.0062,2.1458990932512085,0.06945974232991425,14.200240209653177,0.29064899876622446,12.175988175741836,0.29883355950820994,14.200240209653177,0.29064899876622446,0.03550290753198154,6.822743910756502e-06,-6.627808370449174e-06
1,K00002.01,CONFIRMED,10666592,K00002,10.463,10.8775,0.0229,9.334,0.018,2.9331,0.0206,0.9591,1.515,0.063,-0.071,1.995,0.042,-0.04,0.189,0.015,-0.015,6436.5,138.2,-126.5,0.221,0.121,-0.165,4.015,0.026,-0.029,1.74,0.39,-0.38,0,1,5945.9,1.0034,0.0089636623982885,2.2047354176,4.310000001339631e-08,-4.310000001339631e-08,54.358540898,1.6046600002539435e-05,-1.6464120001558058e-05,0.0751826129115,8.102944460006145e-06,-7.7209190599975e-06,0.16142011502130504,2.1167633227792138e-05,-2.010527510593052e-05,0.013475505408,0.013520609988319998,-0.009410828019,0.0,2.172944381714262,0.07465138462879313,16.360289880379494,0.3363309111530699,13.853522268319495,0.34451605336188645,16.360289880379494,0.3363309111530699,0.03807643742729691,4.251284682456304e-06,-4.791130356419008e-06
2,K00003.01,CONFIRMED,10748390,K00003,9.174,10.6757,0.024,7.009,0.02,26.4808,0.0234,0.9799,0.765,0.026,-0.016,0.773,0.011,-0.011,1.641,0.106,-0.07,4540.8,58.1,-49.6,0.41,0.07,-0.098,4.542,0.023,-0.014,15.5,3.06,-5.58,1,1,862.3,,0.005233598868145,4.88780301575,4.753500002507849e-07,-4.854659998443367e-07,57.813093157,7.558156000442295e-05,-7.476472000433887e-05,0.057995447082999994,0.0005168618675600034,-0.00017103038835999257,0.09855986436840192,0.00028680683234867665,-0.00016391932546910848,0.14483644326,0.12662360514479998,-0.09734595126768,0.0,1.9907435466561887,0.043195179156985786,4.889946120326134,0.07678334823831016,4.5196684809115695,0.0880994101517695,4.889946120326134,0.07678334823831016,0.05155182593161562,4.704266632503345e-06,-2.894933312309751e-06
3,K00004.01,CONFIRMED,3861595,K00004,11.432,11.6934,0.0202,10.195,0.023,1.2706,0.0273,0.9065,1.781,0.064,-0.139,3.049,0.089,-0.085,0.062,0.006,-0.006,6776.0,146.4,-130.7,-0.076,0.107,-0.057,3.716,0.026,-0.037,1.2,0.28,-0.11,0,1,132.7,1.0065,0.0061717535208138,3.8493718580499996,2.327238000088272e-06,-2.3902819994425784e-06,90.526662814,0.0004957049999916308,-0.00048570699999572753,0.03869052708,0.0010284139799199982,-0.002266158888319998,0.10629311937852007,0.003954970820065407,-0.006585683961188263,0.894066686195,0.023022732127000012,-0.08790832023979989,0.018,2.0437366712187734,0.051313404566006394,12.867457715221812,0.6909217800285142,11.584722498466002,0.6928246326495077,12.867457715221812,0.6909217800285142,0.05826785020226218,5.621872779929382e-06,-1.2210004943909128e-05
4,K00005.01,CANDIDATE,8554498,K00005,11.665,12.0311,0.02,10.213,0.014,1.8358,0.0811,3.3003,1.374,0.13,-0.098,2.19,0.105,-0.103,0.129,0.021,-0.019,5936.1,104.5,-112.8,0.235,0.143,-0.172,3.894,0.049,-0.054,3.28,0.77,-0.91,0,1,380.8,1.0301,0.0053641449403144,4.7803275497,8.727159999111223e-07,-8.602759997700105e-07,65.974090521,0.0001474707599982139,-0.0001505563599977222,0.036546657826500004,0.00018866903329999712,-0.00018473656150000406,0.08430575858961611,0.000561917602000292,-0.0005992747275049004,0.9514493160099999,0.0015742886008001111,-0.001739797752399963,0.22,1.9956183141717525,0.043891547939638544,8.730165185756317,0.41699449161197455,8.049386913177589,0.41929807299255106,8.730165185756317,0.41699449161197455,0.061742156171798915,1.568463351418086e-05,-1.1823800649151726e-05
5,K00007.01,CONFIRMED,11853905,K00007,12.211,12.5596,0.0208,10.805,0.023,2.0509,0.0243,1.0333,1.216,0.059,-0.083,1.502,0.036,-0.037,0.353,0.036,-0.034,5968.2,107.9,-112.5,0.153,0.163,-0.131,4.165,0.034,-0.037,3.93,1.81,-1.01,0,1,346.9,,0.0069669226326563,3.21366882515,1.1077660002634104e-06,-1.060598000091062e-06,56.6119125435,0.00027199574000036364,-0.00027772778000212384,0.024534776154,0.0001610603914799988,-6.976943288000345e-05,0.16611823673129694,0.00040958366437701677,-0.00036903454173708994,0.145820398865,0.13924546900939996,-0.10159465523344002,0.0,2.08471984137287,0.058270728832761534,4.019598837121929,0.09978294803849169,3.5477485816193672,0.11555135030778983,4.019598837121929,0.09978294803849169,0.04549109410211166,5.926261113919642e-06,-8.336943600937803e-06
6,K00010.01,CONFIRMED,6922244,K00010,13.563,13.8936,0.02,12.293,0.016,0.9798,0.0139,0.9259,1.264,0.054,-0.062,1.545,0.036,-0.035,0.34,0.031,-0.032,6365.3,139.8,-131.9,-0.088,0.161,-0.168,4.16,0.029,-0.035,2.62,0.78,-0.6,0,1,1741.5,1.0013,0.0065594275110468,3.5224984364,1.9681600038623515e-07,-1.9761600000833823e-07,54.119420468,4.7307439992039235e-05,-4.539108000756187e-05,0.0920814073955,0.00015462703362000008,-0.0001591040743799954,0.13326060038126575,0.00026737687949135447,-0.00028263483732068884,0.63128081217,0.007091749899999944,-0.007600359048799965,2.1e-06,2.0637839660938533,0.0546539461124638,15.5178343500731,0.357572746104829,13.835176391149474,0.36172547958723145,15.5178343500731,0.357572746104829,0.04898886089818752,5.619271178538248e-06,-6.451755797580951e-06
7,K00012.01,CONFIRMED,5812701,K00012,11.353,11.4993,0.0206,10.234,0.018,2.5053,0.0271,0.8607,1.437,0.052,-0.061,1.491,0.033,-0.03,0.43,0.03,-0.033,6943.4,145.1,-138.0,0.069,0.109,-0.121,4.246,0.023,-0.028,0.69,0.49,-0.4,0,1,915.7,1.0215,0.002195087776855,17.855221714499997,3.664260002977926e-06,-3.77965999831531e-06,79.5964650105,0.00016982582000935054,-0.0001637708599986354,0.0881346121995,6.908889866000245e-05,-6.464741634001903e-05,0.3088110483909805,0.00025276698826759425,-0.00022728197927118776,0.0477849922265,0.04810639761074001,-0.03377021568306,0.0027,1.7263293165828406,0.034537704329601966,14.333584815763865,0.30336055806171347,15.277384104911555,0.30532029282029916,14.333584815763865,0.30336055806171347,0.1508725387075252,1.4658608221027605e-05,-1.7195675028513152e-05
8,K00013.01,CONFIRMED,9941662,K00013,9.958,9.5664,0.0315,9.425,0.014,1.9353,0.1051,1.6619,2.177,0.111,-0.109,2.467,0.148,-0.136,0.141,0.026,-0.021,8795.5,202.8,-179.4,0.011,0.171,-0.156,3.983,0.049,-0.048,0.5,0.09,-0.09,0,1,4061.9,1.3314,0.0104440958659271,1.763587536,4.17000001196044e-08,-4.249999996375209e-08,53.565925158,1.9961799999634877e-05,-1.992263999284205e-05,0.064717449815,5.382964868000384e-05,-5.426409271999666e-05,0.13203267089227877,0.00011868600530798301,-0.00012166512539374397,0.51237563155,0.007500408249999979,-0.007933198173999956,0.0062,2.2269688930189706,0.08539047719772541,17.414909597864725,1.0033983542553369,14.388810620803818,1.0070252186109212,17.414909597864725,1.0033983542553369,0.037025301254766246,5.068729493324836e-06,-4.97740103398565e-06
9,K00017.01,CONFIRMED,10874614,K00017,13.303,13.667,0.02,11.634,0.019,1.7047,0.0145,0.9991,1.122,0.053,-0.065,1.262,0.027,-0.031,0.548,0.061,-0.048,5741.4,112.7,-107.5,0.333,0.116,-0.125,4.283,0.034,-0.035,5.06,2.4,-1.87,0,1,3003.8,,0.0069524327021328,3.2346992827,1.2121599990422283e-07,-1.2309999997128784e-07,54.486571177,2.989832000110937e-05,-2.9897680001056415e-05,0.092559723673,2.007589524000153e-05,-2.008761944000126e-05,0.1496534323437486,4.170901054992293e-05,-4.05671534817742e-05,0.014379118053,0.015599722973839998,-0.009919431106472,0.0,2.0832245871888713,0.05800840885898778,12.741251359534077,0.2934947571127422,11.253660620998236,0.29917243848827224,12.741251359534077,0.2934947571127422,0.04448033038560679,5.641401127751542e-06,-6.918699496299061e-06
